step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
105,2029968,1680,0.01672095514502588,0.0,0.8693181818181818
106,2049440,1696,0.016904642941826257,0.0,0.8465909090909091
107,2068656,1712,0.016929526288049185,0.0,0.8636363636363636
108,2088000,1728,0.016579365822990303,0.0,0.8636363636363636
109,2107600,1744,0.01624172163596855,0.0,0.8579545454545454
110,2126944,1760,0.01700669948766238,0.0,0.8409090909090909
111,2146288,1776,0.016443798819736635,0.0,0.8409090909090909
112,2165632,1792,0.016747530504113588,0.0,0.8693181818181818
113,2184720,1808,0.01752178803536432,0.0,0.8579545454545454
114,2203808,1824,0.017055272720631315,0.0,0.8693181818181818
115,2222768,1840,0.017015169926392664,0.125,0.8920454545454546
116,2242240,1856,0.016415635807420476,0.0,0.8636363636363636
117,2261712,1872,0.01649788433658656,0.0,0.8522727272727273
118,2281056,1888,0.016614182638652608,0.0,0.8863636363636364
119,2300528,1904,0.016422028583508663,0.0,0.8522727272727273
120,2320000,1920,0.016201484254385036,0.0,0.8693181818181818
121,2339344,1936,0.01660430902921041,0.0,0.8522727272727273
122,2358816,1952,0.016552572423047578,0.0,0.8636363636363636
123,2378160,1968,0.01665920591893474,0.0,0.875
124,2397504,1984,0.016605209663893748,0.0,0.8693181818181818
125,2416720,2000,0.01670422704460608,0.0,0.8693181818181818
126,2436192,2016,0.01643666145396727,0.0,0.875
127,2455664,2032,0.016421522680857666,0.0625,0.8806818181818182
128,2474880,2048,0.016691130517522187,0.0,0.8920454545454546
129,2494224,2064,0.016836235644895715,0.0,0.8465909090909091
130,2513568,2080,0.01658455070974451,0.0,0.8579545454545454
131,2533168,2096,0.016261363706915565,0.0,0.8636363636363636
132,2552640,2112,0.016567399526567418,0.0,0.8522727272727273
133,2572112,2128,0.016566485553317672,0.0625,0.8636363636363636
134,2591456,2144,0.016566967165629432,0.0,0.8636363636363636
135,2610800,2160,0.01642731596952441,0.0,0.8579545454545454
136,2630400,2176,0.016320161266924663,0.0625,0.875
137,2649744,2192,0.016458096769331056,0.0,0.8409090909090909
138,2668960,2208,0.016530543957843882,0.0625,0.8920454545454546
139,2688176,2224,0.016703007184144247,0.0,0.875
140,2707648,2240,0.017039681301008563,0.0,0.8579545454545454
141,2726992,2256,0.016548817674858617,0.0,0.8693181818181818
142,2746592,2272,0.01602026631973544,0.0625,0.8806818181818182
143,2765936,2288,0.016537289367203355,0.0,0.8579545454545454
144,2785280,2304,0.016613585107605945,0.0,0.875
145,2804752,2320,0.01671922416731726,0.0,0.8409090909090909
146,2824224,2336,0.016112335857049194,0.0,0.8693181818181818
147,2843824,2352,0.016359572076122843,0.0,0.8636363636363636
148,2862912,2368,0.016800936649089267,0.0625,0.875
149,2882384,2384,0.01627692536026691,0.0,0.8579545454545454
150,2901600,2400,0.016807291289391537,0.0,0.8579545454545454
151,2920816,2416,0.01659873861537606,0.0625,0.8522727272727273
152,2940288,2432,0.016275512204201308,0.0625,0.8579545454545454
153,2959376,2448,0.016818769228466666,0.0,0.8693181818181818
154,2978720,2464,0.016548494707829802,0.0,0.8636363636363636
155,2998064,2480,0.016491722750114287,0.0,0.8352272727272727
156,3017408,2496,0.016273423039662997,0.0,0.8579545454545454
157,3037008,2512,0.01637715377174522,0.0,0.8579545454545454
158,3056480,2528,0.016258657457140675,0.0625,0.8693181818181818
159,3076080,2544,0.01599808428741839,0.0625,0.8806818181818182
160,3095552,2560,0.016323976063607634,0.0,0.8693181818181818
161,3115024,2576,0.016255228877024675,0.0,0.8579545454545454
162,3134624,2592,0.0160676484574916,0.0,0.8579545454545454
163,3153968,2608,0.016424404737815285,0.0,0.8579545454545454
164,3173440,2624,0.016464677693063895,0.0,0.8806818181818182
165,3192784,2640,0.01642778706548423,0.0,0.8806818181818182
166,3212256,2656,0.016273899596599955,0.0625,0.8693181818181818
167,3231472,2672,0.016765705828642185,0.0,0.8636363636363636
168,3250688,2688,0.016262642065266713,0.0,0.8693181818181818
169,3269776,2704,0.016538670350221836,0.0,0.8579545454545454
170,3288992,2720,0.0166247235172062,0.0,0.8465909090909091
171,3308464,2736,0.016319461467499196,0.0,0.875
172,3327808,2752,0.01645075780039231,0.0,0.8636363636363636
173,3347152,2768,0.016294836421636042,0.0,0.8636363636363636
174,3366368,2784,0.016457515643930956,0.0,0.8693181818181818
175,3385712,2800,0.016298285637284464,0.0,0.8409090909090909
176,3404928,2816,0.01638943537575162,0.0,0.8579545454545454
177,3424144,2832,0.016511627144432054,0.0625,0.8693181818181818
178,3443488,2848,0.016308637385211384,0.0625,0.8693181818181818
179,3462960,2864,0.016052377824700745,0.0,0.875
180,3482304,2880,0.016230768967032842,0.0625,0.8806818181818182
181,3501648,2896,0.01632038778959843,0.0,0.8636363636363636
182,3521120,2912,0.016207264937157146,0.0,0.8920454545454546
183,3540464,2928,0.01620231777653224,0.0,0.8693181818181818
184,3559680,2944,0.01642231461407288,0.0,0.875
185,3578896,2960,0.016410180696689314,0.0,0.8636363636363636
186,3598496,2976,0.016049713985928474,0.0,0.8636363636363636
187,3617840,2992,0.016313431274002213,0.0,0.875
188,3637056,3008,0.016310923961493064,0.0,0.8863636363636364
189,3656272,3024,0.016770325072858052,0.0,0.8579545454545454
190,3675616,3040,0.016263180017127295,0.0,0.8579545454545454
191,3694960,3056,0.016209982664512297,0.0,0.8636363636363636
192,3714176,3072,0.016405082043957325,0.0,0.8693181818181818
193,3733520,3088,0.016388878351039242,0.0,0.8636363636363636
194,3752864,3104,0.01621470423372547,0.0,0.8806818181818182
195,3772208,3120,0.016436753140978897,0.0,0.8465909090909091
196,3791552,3136,0.016122674324951146,0.0,0.8693181818181818
197,3811024,3152,0.01624722059567423,0.0625,0.8806818181818182
198,3830496,3168,0.01621963703778111,0.0,0.875
199,3849968,3184,0.016152073050449668,0.0,0.875
200,3869184,3200,0.01641204085895529,0.0,0.8465909090909091
201,3888528,3216,0.016044788120015814,0.0,0.8636363636363636
202,3907872,3232,0.016550505569287697,0.0,0.8579545454545454
203,3927216,3248,0.016408068748918293,0.0,0.8409090909090909
204,3946432,3264,0.016394813115733577,0.0,0.8863636363636364
205,3965776,3280,0.016160256089150882,0.0,0.8636363636363636
206,3984864,3296,0.01681233498161033,0.0,0.8636363636363636
207,4004208,3312,0.016207293613300026,0.0625,0.8920454545454546
208,4023552,3328,0.01605279922431918,0.0625,0.875
209,4042896,3344,0.016343592499678115,0.0625,0.8636363636363636
210,4062240,3360,0.016320187388337723,0.0,0.8579545454545454
211,4081712,3376,0.016167242774301156,0.0,0.8579545454545454
212,4101056,3392,0.01598679227720495,0.0,0.8806818181818182
213,4120400,3408,0.016286310019276294,0.0,0.8465909090909091
214,4139744,3424,0.016266005024331582,0.0625,0.8806818181818182
215,4159216,3440,0.015958494389232043,0.0,0.8409090909090909
216,4178560,3456,0.016133921915082578,0.0,0.8693181818181818
217,4198032,3472,0.016034600509377328,0.0,0.8636363636363636
218,4217376,3488,0.016183537645146264,0.0,0.8636363636363636
219,4236848,3504,0.016116009525113557,0.0,0.8806818181818182
220,4256320,3520,0.015969613400678512,0.0,0.8522727272727273
221,4275408,3536,0.01665869379018687,0.0,0.8693181818181818
222,4294752,3552,0.015996179835416457,0.0,0.8636363636363636
223,4313968,3568,0.01634023707596744,0.0625,0.8636363636363636
224,4333184,3584,0.016122860729523784,0.0625,0.8579545454545454
225,4352656,3600,0.01611760526439888,0.0,0.8693181818181818
226,4372256,3616,0.01585376855290782,0.0625,0.8522727272727273
227,4391600,3632,0.01577864875138639,0.0,0.8806818181818182
228,4410944,3648,0.016085631043295842,0.0625,0.8693181818181818
229,4430032,3664,0.016287752155260703,0.0,0.875
230,4449248,3680,0.016499973034115798,0.0,0.8522727272727273
231,4468848,3696,0.01599264865328958,0.0,0.8409090909090909
232,4488320,3712,0.015823105490587012,0.0625,0.8579545454545454
233,4507664,3728,0.015946665600453543,0.0,0.8806818181818182
234,4526880,3744,0.016292190013763697,0.0,0.8636363636363636
235,4546096,3760,0.016291827060579807,0.0,0.8806818181818182
236,4565312,3776,0.01636024756771122,0.0,0.8636363636363636
237,4584656,3792,0.016241987514999615,0.0,0.8693181818181818
238,4603872,3808,0.016199771211384557,0.0,0.8465909090909091
239,4623344,3824,0.016063098610489518,0.0,0.875
240,4642560,3840,0.01603541502494294,0.0,0.8636363636363636
241,4661904,3856,0.016243010343813702,0.0,0.8636363636363636
242,4681248,3872,0.016158475550216253,0.0,0.8693181818181818
243,4700464,3888,0.016253425973034526,0.0,0.8522727272727273
244,4719808,3904,0.01613107032523222,0.0,0.8806818181818182
245,4739024,3920,0.016222600716120347,0.0,0.8522727272727273
246,4758368,3936,0.01574945248091022,0.0,0.875
247,4777712,3952,0.015884295894859547,0.0,0.8636363636363636
248,4797184,3968,0.01571868948331185,0.0,0.8693181818181818
249,4816528,3984,0.015901068181006096,0.0,0.8522727272727273
250,4836128,4000,0.01587785570384623,0.0,0.8693181818181818
251,4855600,4016,0.015825766454680805,0.0,0.8693181818181818
252,4875072,4032,0.015970596964332184,0.0,0.8693181818181818
253,4894672,4048,0.015906764472898446,0.0,0.8636363636363636
254,4913760,4064,0.0162837971272933,0.0,0.875
255,4932976,4080,0.016425472050860437,0.0,0.875
256,4952192,4096,0.0161006144392451,0.0,0.8522727272727273
257,4971792,4112,0.015382980029026582,0.0625,0.8863636363636364
258,4991008,4128,0.015976290393433547,0.0,0.8636363636363636
259,5010352,4144,0.015888457258193753,0.125,0.8806818181818182
260,5029568,4160,0.01622611479514606,0.0625,0.8636363636363636
261,5049040,4176,0.015491530651762505,0.0,0.8636363636363636
262,5068384,4192,0.015986278868484704,0.0,0.875
263,5087856,4208,0.015508508433778156,0.0,0.8579545454545454
264,5107328,4224,0.015884071408704452,0.0,0.8579545454545454
265,5126544,4240,0.016197367428178153,0.0,0.8693181818181818
266,5146144,4256,0.015376511306346142,0.0,0.8920454545454546
267,5165616,4272,0.0158584448570533,0.1875,0.8977272727272727
268,5185088,4288,0.015697480853710578,0.0,0.875
269,5204432,4304,0.01574835515161217,0.0,0.8806818181818182
270,5223648,4320,0.01576675488591916,0.0625,0.8579545454545454
271,5242992,4336,0.016048129739659623,0.0625,0.8636363636363636
272,5262336,4352,0.015750024859449235,0.0,0.8636363636363636
273,5281552,4368,0.015840211250979834,0.0625,0.8693181818181818
274,5300896,4384,0.01582401373384174,0.0,0.8863636363636364
275,5320368,4400,0.015681469716958798,0.0625,0.8863636363636364
276,5339712,4416,0.01618314518957182,0.0625,0.8977272727272727
277,5359056,4432,0.016026445125519234,0.0,0.8579545454545454
278,5378528,4448,0.015868931485249954,0.0,0.875
279,5397744,4464,0.015990254458733377,0.125,0.8977272727272727
280,5416832,4480,0.016182717870069974,0.0,0.875
281,5436304,4496,0.015888699463617588,0.0,0.8579545454545454
282,5455520,4512,0.01613370665634696,0.0,0.8522727272727273
283,5474864,4528,0.01575208218966817,0.0,0.8806818181818182
284,5494208,4544,0.01573812193089366,0.0,0.8636363636363636
285,5513424,4560,0.016297777426890505,0.0,0.8522727272727273
286,5532896,4576,0.015814990662490397,0.0,0.8579545454545454
287,5552240,4592,0.016005113672271604,0.0,0.8693181818181818
288,5571328,4608,0.016520587885951857,0.0,0.875
289,5590672,4624,0.01593596899780846,0.125,0.8863636363636364
290,5609888,4640,0.016041721380621498,0.0,0.8579545454545454
291,5629232,4656,0.016140502558271697,0.0,0.8693181818181818
292,5648832,4672,0.01544987023245131,0.0625,0.8977272727272727
293,5668048,4688,0.015919772001782607,0.0,0.8806818181818182
294,5687392,4704,0.01586512266743932,0.0625,0.875
295,5706608,4720,0.015853636724617523,0.0,0.8636363636363636
296,5725824,4736,0.016185240519707468,0.0,0.8636363636363636
297,5744912,4752,0.016118440597310296,0.0,0.8693181818181818
298,5764128,4768,0.015834616206704323,0.0625,0.8806818181818182
299,5783600,4784,0.015878954345354256,0.0,0.875
300,5803072,4800,0.01566143088819555,0.0625,0.8806818181818182
301,5822416,4816,0.015590435041295557,0.125,0.8977272727272727
302,5841760,4832,0.015575189076852725,0.125,0.9090909090909091
303,5860976,4848,0.015944473805997464,0.0,0.8863636363636364
304,5880192,4864,0.01612327392542927,0.0,0.8806818181818182
305,5899536,4880,0.015627183149437892,0.125,0.8920454545454546
306,5919008,4896,0.015321916684280661,0.0,0.8636363636363636
307,5938608,4912,0.015478562583200144,0.0,0.8920454545454546
308,5957696,4928,0.016456935889052955,0.0,0.8693181818181818
309,5977040,4944,0.01595816877871625,0.0,0.875
310,5996384,4960,0.015856097902343626,0.0625,0.9090909090909091
311,6015856,4976,0.015392235904359236,0.0625,0.8863636363636364
312,6035200,4992,0.016055910119300538,0.0,0.8806818181818182
313,6054416,5008,0.01580594768494791,0.0625,0.8977272727272727
314,6073632,5024,0.01601379293390131,0.0625,0.8977272727272727
315,6092976,5040,0.015693810101165957,0.0625,0.8920454545454546
316,6112064,5056,0.01595953180005978,0.0,0.8806818181818182
317,6131280,5072,0.015736027138626894,0.0625,0.8977272727272727
318,6150624,5088,0.015813119127694585,0.0,0.8806818181818182
319,6169840,5104,0.016040059626079108,0.0,0.8920454545454546
320,6189184,5120,0.01572912753084381,0.0625,0.875
321,6208528,5136,0.01602596088856887,0.125,0.8920454545454546
322,6227744,5152,0.015471526232876712,0.0,0.8977272727272727
323,6247088,5168,0.01608852739022264,0.0,0.8693181818181818
324,6266304,5184,0.015688264322394865,0.125,0.9034090909090909
325,6285648,5200,0.01600484368410314,0.0625,0.8920454545454546
326,6305120,5216,0.01565867346000837,0.0,0.8806818181818182
327,6324592,5232,0.015554423646060434,0.0,0.8693181818181818
328,6343808,5248,0.015512772554836355,0.0,0.8977272727272727
329,6362896,5264,0.015947411469066974,0.0625,0.9034090909090909
330,6382240,5280,0.01573788346846265,0.0,0.8863636363636364
331,6401584,5296,0.015359737237598174,0.0625,0.9034090909090909
332,6421056,5312,0.015551905293702192,0.0,0.8863636363636364
333,6440144,5328,0.01598019475807976,0.0,0.8920454545454546
334,6459744,5344,0.015172882978146923,0.0,0.8920454545454546
335,6478832,5360,0.015611369045879155,0.0,0.9034090909090909
336,6498176,5376,0.015435243339258688,0.0,0.875
337,6517520,5392,0.015261851935459961,0.0,0.9090909090909091
338,6536864,5408,0.015639475019858573,0.0,0.9034090909090909
339,6556208,5424,0.01537907848770318,0.0,0.9034090909090909
340,6575552,5440,0.015680929469452893,0.0625,0.8920454545454546
341,6594768,5456,0.015790654319242366,0.0,0.8920454545454546
342,6614112,5472,0.015581987458039659,0.0625,0.8977272727272727
343,6633712,5488,0.015917516462053072,0.0,0.875
344,6653056,5504,0.015412445486782661,0.0,0.8920454545454546
345,6672528,5520,0.015289879331032135,0.125,0.9147727272727273
346,6691744,5536,0.015402227293498575,0.125,0.8863636363636364
347,6711216,5552,0.015673289310679878,0.0625,0.8806818181818182
348,6730560,5568,0.015420799172036492,0.0,0.9034090909090909
349,6749776,5584,0.015398094204973688,0.0,0.9034090909090909
350,6769120,5600,0.015306021657880298,0.125,0.9034090909090909
351,6788592,5616,0.015045849286537875,0.0625,0.9147727272727273
352,6807936,5632,0.015658447731269867,0.0,0.9034090909090909
353,6827152,5648,0.015436664259620914,0.0,0.9034090909090909
354,6846624,5664,0.015179353574811406,0.0625,0.9034090909090909
355,6865840,5680,0.015314959841298114,0.0625,0.9147727272727273
356,6885312,5696,0.01491620663606695,0.0625,0.9090909090909091
357,6904656,5712,0.015330192552087762,0.0625,0.9034090909090909
358,6923872,5728,0.015426013019152762,0.0,0.9034090909090909
359,6943216,5744,0.015469741754343347,0.0,0.8920454545454546
360,6962432,5760,0.015852693503081154,0.0,0.8920454545454546
361,6981904,5776,0.015255551533875355,0.0625,0.9090909090909091
362,7001248,5792,0.015328571601678867,0.0,0.8977272727272727
363,7020720,5808,0.015137483544730131,0.0625,0.9034090909090909
364,7039808,5824,0.015571443235958425,0.0,0.9034090909090909
365,7059024,5840,0.01498272180227293,0.0625,0.9147727272727273
366,7078240,5856,0.015463154114564009,0.0625,0.8920454545454546
367,7097712,5872,0.015201096746439838,0.0625,0.9090909090909091
368,7116928,5888,0.01556114264792488,0.1875,0.9204545454545454
369,7136272,5904,0.015257473104968096,0.0,0.8920454545454546
370,7155744,5920,0.014909415846204959,0.0,0.9034090909090909
371,7175088,5936,0.015208377496668314,0.0,0.8977272727272727
372,7194560,5952,0.014890824571050086,0.0625,0.9147727272727273
373,7214032,5968,0.015289094317158644,0.0625,0.8977272727272727
374,7233504,5984,0.015377705452792335,0.0,0.8977272727272727
375,7252848,6000,0.014973059224119416,0.0,0.8977272727272727
376,7272192,6016,0.01485378277751016,0.0625,0.9090909090909091
377,7291664,6032,0.015567009818593628,0.125,0.8920454545454546
378,7311136,6048,0.015594723484108662,0.0625,0.9090909090909091
379,7330480,6064,0.01580968178334289,0.125,0.9147727272727273
380,7349952,6080,0.01586857176694717,0.0,0.8920454545454546
381,7369424,6096,0.015870208723369132,0.0,0.8977272727272727
382,7388896,6112,0.015886712064248444,0.0,0.8920454545454546
383,7408112,6128,0.01573503754554466,0.0,0.8977272727272727
384,7427456,6144,0.01563852646951459,0.0,0.9034090909090909
385,7446672,6160,0.01550107594342783,0.0,0.9034090909090909
386,7465760,6176,0.01601511634672211,0.0,0.9090909090909091
387,7484976,6192,0.015820107992368312,0.0,0.9090909090909091
388,7504448,6208,0.015419219153448785,0.0,0.9090909090909091
389,7523664,6224,0.01597686205055199,0.0,0.9034090909090909
390,7543392,6240,0.01540525923589117,0.0625,0.8977272727272727
391,7562608,6256,0.01551943764891584,0.0,0.9034090909090909
392,7581824,6272,0.015795965486995904,0.0,0.8863636363636364
393,7601168,6288,0.015079725776932198,0.0,0.9034090909090909
394,7620512,6304,0.015485020483354124,0.0,0.9034090909090909
395,7639984,6320,0.015608931511356047,0.0,0.8977272727272727
396,7659328,6336,0.015446604635156716,0.0,0.8977272727272727
397,7678672,6352,0.015332180405690487,0.0625,0.9090909090909091
398,7697888,6368,0.015543236475897934,0.0,0.8977272727272727
399,7717232,6384,0.015493281152352373,0.0,0.8977272727272727
400,7736576,6400,0.015578489890359152,0.0,0.8977272727272727
401,7755664,6416,0.015993254687981857,0.0625,0.8863636363636364
402,7774880,6432,0.01540321555219989,0.0,0.8977272727272727
403,7794224,6448,0.014931927000209948,0.1875,0.9261363636363636
404,7813696,6464,0.015207246210006601,0.0625,0.9090909090909091
405,7832912,6480,0.015165563503366697,0.0,0.9090909090909091
406,7852384,6496,0.014993817504542074,0.0625,0.9034090909090909
407,7871856,6512,0.01525586057720329,0.0,0.8977272727272727
408,7891328,6528,0.014832951679665597,0.0,0.9090909090909091
409,7910672,6544,0.015214264037780617,0.0,0.9090909090909091
410,7930144,6560,0.014953600401570625,0.0,0.9090909090909091
411,7949488,6576,0.01495098030619536,0.0,0.9090909090909091
412,7968960,6592,0.014896734749646893,0.125,0.9204545454545454
413,7988048,6608,0.01586219321597754,0.0,0.9034090909090909
414,8007392,6624,0.01491609298582635,0.1875,0.9261363636363636
415,8026608,6640,0.015331547861578075,0.0,0.9034090909090909
416,8046080,6656,0.015044668491762003,0.0,0.9090909090909091
417,8065296,6672,0.01499403701974779,0.0,0.9090909090909091
418,8084512,6688,0.015142813239949114,0.0,0.9090909090909091
419,8103856,6704,0.015588510896181242,0.0,0.8920454545454546
420,8123328,6720,0.014869432492607812,0.0625,0.9147727272727273
421,8142672,6736,0.01486063564094403,0.0625,0.9090909090909091
422,8162016,6752,0.015184650583261678,0.0625,0.9147727272727273
423,8181232,6768,0.015405894461781778,0.125,0.9090909090909091
424,8200704,6784,0.014938644554109669,0.0625,0.9034090909090909
425,8219792,6800,0.015256402098551546,0.0625,0.9090909090909091
426,8238880,6816,0.015486688383253488,0.0,0.8977272727272727
427,8258096,6832,0.015533688540146917,0.0625,0.9090909090909091
428,8277440,6848,0.015119373904527228,0.0,0.9034090909090909
429,8296784,6864,0.014826329066773005,0.0625,0.9147727272727273
430,8316000,6880,0.015060044946278847,0.0625,0.9090909090909091
431,8335600,6896,0.014807011886949117,0.0625,0.9147727272727273
432,8355072,6912,0.015085442111179655,0.1875,0.9090909090909091
433,8374416,6928,0.015066213746170358,0.0,0.9034090909090909
434,8393760,6944,0.014809430139282646,0.0,0.9090909090909091
435,8412976,6960,0.015443640524214706,0.25,0.9261363636363636
436,8432320,6976,0.015032280073690216,0.0,0.9090909090909091
437,8451408,6992,0.015859736301183452,0.0625,0.8920454545454546
438,8470752,7008,0.015272724579761088,0.0,0.8920454545454546
439,8489968,7024,0.014921701236592554,0.125,0.9147727272727273
440,8509312,7040,0.015176059366465025,0.0625,0.9034090909090909
441,8528656,7056,0.014721749826760453,0.0625,0.9147727272727273
442,8548000,7072,0.014782720241506528,0.1875,0.9261363636363636
443,8567216,7088,0.015169182059366208,0.0,0.8977272727272727
444,8586560,7104,0.01495064824711081,0.0625,0.9090909090909091
445,8606032,7120,0.01464983097229946,0.0625,0.9034090909090909
446,8625248,7136,0.015234014995590774,0.0625,0.9147727272727273
447,8644592,7152,0.015102565479016363,0.0625,0.9147727272727273
448,8663936,7168,0.015108606925675777,0.0,0.8977272727272727
449,8683280,7184,0.015098906725747823,0.0,0.9034090909090909
450,8702752,7200,0.015228114839156691,0.125,0.8977272727272727
451,8722096,7216,0.015096054543642297,0.0625,0.9147727272727273
452,8741568,7232,0.01488021467033016,0.0625,0.9034090909090909
453,8760784,7248,0.01491981196107754,0.0,0.9034090909090909
454,8780128,7264,0.014998468401290667,0.125,0.9204545454545454
455,8799600,7280,0.015356464151071161,0.0,0.9034090909090909
